,skill_consistency,skill_audacity,skill_unpredictability,skill_clutch,skill_chase_iq,skill_pace_killer,skill_spin_killer,skill_hard_hitting
Aniket Verma,0.9060802671322846,0.4222972972972973,2.0032473480121293,178.125,86.8421052631579,139.43661971830986,187.93103448275863,16.756756756756758
Anirudh Singh,0.0,0.10869565217391304,1.7007697166247402,100.0,88.46153846153845,79.3103448275862,82.35294117647058,4.9275362318840585
Ankit Sharma,0.5887716694559321,0.2391304347826087,1.9333848436369945,106.89655172413792,138.0952380952381,96.15384615384616,135.8974358974359,9.855072463768117
Ankit Soni,0.0,0.16666666666666666,0.0,77.77777777777779,0.0,116.66666666666667,0.0,6.666666666666667
Anmolpreet Singh,0.8599188044701511,0.2264957264957265,1.7885284754042718,0.0,122.91666666666667,114.70588235294117,117.5,9.059829059829061
Anuj Rawat,0.7128845341042584,0.24456521739130435,1.8467904337220804,184.05797101449275,101.33333333333334,129.44444444444446,76.74418604651163,8.84057971014493
Anureet Singh,0.5043028560527603,0.07446808510638298,1.337248612953359,82.85714285714286,64.1025641025641,52.94117647058824,183.33333333333331,3.829787234042553
Arjun Tendulkar,0.0,0.16666666666666666,0.0,144.44444444444443,144.44444444444443,144.44444444444443,0.0,6.666666666666667
Arshad Khan,0.5188672752053789,0.24444444444444444,1.9235075309769536,145.2830188679245,142.10526315789474,147.05882352941177,112.82051282051282,12.222222222222223
Arshad Khan (2),0.0,0.25,0.0,125.0,0.0,125.0,0.0,0.0
Arshdeep Singh,0.45506061042928764,0.08333333333333333,1.4086082103288862,63.41463414634146,45.0,73.17073170731707,0.0,0.0
Ashutosh Sharma,0.8643307098084273,0.34375,1.990484809043509,166.91176470588235,166.24203821656053,156.77419354838707,136.986301369863,14.6875
Atharva Taide,0.9449447904376289,0.2978723404255319,1.991906865374763,0.0,130.17241379310346,144.53781512605042,129.0909090909091,10.638297872340425
Avesh Khan,0.599498305756639,0.3717948717948718,2.0207018975173243,147.05882352941177,192.30769230769232,114.81481481481481,258.33333333333337,16.41025641025641
Azhar Mahmood,0.7614144046433081,0.28135048231511256,1.8730757104853906,150.0,116.03053435114504,117.61658031088082,134.7826086956522,9.196141479099678
Azmatullah Omarzai,0.9590042601326778,0.21428571428571427,1.8362497683981616,143.75,104.0,138.23529411764704,114.99999999999999,10.64935064935065
B Akhil,0.6829317389828917,0.2807017543859649,1.9549890651300252,153.125,155.17241379310346,112.5,100.0,12.280701754385964
B Chipli,0.7600999381662674,0.18359375,1.7802965070640455,177.27272727272728,105.17241379310344,100.68027210884354,120.48192771084338,7.109375
B Indrajith,0.0,0.06451612903225806,1.4836164704209902,0.0,65.21739130434783,66.66666666666666,75.0,0.0
B Kumar,0.5976456776665856,0.10714285714285714,1.6652648412543352,95.39007092198581,89.36170212765957,87.16981132075472,85.0,4.230769230769231
B Laughlin,0.0,0.0,0.9612366047228759,20.0,40.0,36.36363636363637,50.0,0.0
B Lee,0.6593185550579821,0.2107843137254902,1.8077081848092815,130.0,122.44897959183673,140.67796610169492,100.0,10.980392156862745
B Sai Sudharsan,1.2184191911871054,0.2623143080531665,1.9358243082035032,209.0909090909091,135.55194805194805,136.36363636363635,150.0,9.86708365910868
B Stanlake,0.0,0.5,0.0,250.0,250.0,250.0,0.0,0.0
B Sumanth,0.0,0.07894736842105263,1.6268748229248886,109.52380952380953,100.0,95.0,88.88888888888889,0.0
BA Bhatt,0.0,0.21428571428571427,0.0,85.71428571428571,0.0,0.0,85.71428571428571,8.57142857142857
BA Stokes,0.8097651428110665,0.22632311977715877,1.9467887794386576,142.22222222222223,141.74757281553397,127.93427230046947,131.57894736842107,8.969359331476323
BAW Mendis,0.0,0.0,0.0,60.0,40.0,60.0,0.0,0.0
BB McCullum,0.8212937857846878,0.29995598591549294,1.8747890886711558,202.56410256410254,127.68903088391906,137.27422003284073,113.44632768361582,10.880281690140844
BB Samantray,0.6425419499680408,0.13793103448275862,1.7776593942199426,124.0,107.14285714285714,111.68831168831169,107.40740740740742,6.206896551724139
BB Sran,0.7837581467338913,0.0,1.2638091738835462,69.23076923076923,72.72727272727273,66.66666666666666,100.0,0.0
BCJ Cutting,0.9270795296452693,0.4143835616438356,2.035638589182279,182.45614035087718,160.3448275862069,184.46601941747574,123.6842105263158,17.12328767123288
BE Hendricks,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0
BJ Haddin,0.0,0.4090909090909091,2.0403733936884962,0.0,0.0,0.0,83.33333333333334,16.363636363636363
BJ Hodge,0.8860493637955127,0.2246313963573287,1.9148746589973409,161.96721311475412,127.52136752136751,136.29764065335752,107.32673267326733,7.961838681699914
BJ Rohrer,0.9326068140067932,0.2465753424657534,2.0000697225539694,235.48387096774195,134.21052631578948,132.53012048192772,137.2549019607843,9.178082191780822
BKG Mendis,0.0,0.5,2.0403733936884962,0.0,181.8181818181818,200.0,0.0,21.818181818181817
BMAJ Mendis,0.0,0.0,1.3992075416402177,0.0,66.66666666666666,66.66666666666666,108.33333333333333,0.0
BR Dunk,0.0,0.19444444444444445,1.6600719775911768,0.0,113.63636363636364,130.43478260869566,166.66666666666669,0.0
BR Sharath,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0
Basil Thampi,0.6374565244849849,0.06756756756756757,1.6214834331380452,93.54838709677419,84.61538461538461,93.93939393939394,0.0,3.783783783783784
Bipul Sharma,0.8247633944666728,0.22580645161290322,2.0383807892862538,155.10204081632654,160.8108108108108,144.04761904761904,165.3846153846154,10.806451612903226
C Bosch,0.0,0.28125,2.0206887399951703,186.95652173913044,0.0,133.33333333333331,75.0,13.125
C Green,0.8635045955776928,0.3167372881355932,1.9746472622877531,176.74418604651163,152.46636771300447,159.03083700440527,142.42424242424244,12.033898305084746
C Madan,0.0,0.14285714285714285,1.1488348542809166,0.0,0.0,83.33333333333334,0.0,0.0
C Munro,0.8874745661090734,0.2881944444444444,1.7963730202250445,66.66666666666666,105.35714285714286,135.71428571428572,114.92537313432835,10.833333333333334
C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C Sakariya,0.6280931044351489,0.0967741935483871,1.3250566850693148,73.07692307692307,45.45454545454545,80.95238095238095,33.33333333333333,0.0
C de Grandhomme,0.7443435251193911,0.23580786026200873,1.9047698089948257,132.03883495145632,113.33333333333333,135.29411764705884,132.6086956521739,11.004366812227074
CA Ingram,0.8119194556302131,0.18032786885245902,1.778016659669905,151.42857142857142,104.95867768595042,118.66666666666667,107.40740740740742,7.540983606557377
CA Lynn,0.9798607917309404,0.303388090349076,1.90975242460134,125.0,141.15308151093438,148.97196261682245,120.94240837696336,12.19712525667351
CA Pujara,0.9405503734067773,0.16253101736972705,1.667241561283632,133.33333333333331,96.29629629629629,103.07692307692307,91.58878504672897,5.9553349875930515
CH Gayle,0.8937615821799137,0.5672639362912401,1.8742467600569384,193.30143540669857,135.5800388852884,142.97057449789818,141.65154264972776,14.852104664391351
CH Morris,0.6185687252819756,0.3619854721549637,2.031368758395111,165.57971014492753,157.27699530516432,161.45038167938932,108.40336134453781,12.4455205811138
CJ Anderson,0.7121549010329176,0.28784403669724773,1.8854832669205772,184.41558441558442,129.7752808988764,120.94017094017093,126.84210526315789,10.77981651376147
CJ Ferguson,1.1588836997160619,0.1092436974789916,1.617600658804065,100.0,82.35294117647058,106.0,71.9298245614035,0.0
CJ Jordan,0.7267842245501984,0.09259259259259259,1.817925133584613,116.94915254237289,96.55172413793103,112.96296296296295,56.25,5.185185185185185
CJ McKay,0.0,0.0,1.272905595320056,0.0,0.0,53.84615384615385,50.0,0.0
CK Kapugedera,0.0,0.0,1.3250112108241772,72.22222222222221,88.88888888888889,69.56521739130434,0.0,0.0
CK Langeveldt,0.0,0.16666666666666666,0.0,33.33333333333333,88.88888888888889,200.0,25.0,6.666666666666667
CL White,0.7635678535353171,0.22868217054263565,1.869792985839477,183.76623376623377,100.0,128.76106194690266,121.17647058823529,8.837209302325583
CM Gautam,0.8541945258452749,0.17088607594936708,1.838063544907125,121.62162162162163,108.33333333333333,99.06542056074767,115.78947368421053,8.10126582278481
CR Brathwaite,0.8132718075615807,0.32083333333333336,1.8939835992002325,183.11688311688312,113.33333333333333,151.72413793103448,142.85714285714286,16.666666666666668
